acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gir_x,gir_y,gir_z,displacement_speed,label
-160,9795,-12381,-331,1578,-111,-1204,-617,-344,0,Standing-Ruminating
1919,9403,-13257,-330,1584,-72,269,59,109,0,Standing-Ruminating
337,10371,-12284,-352,1586,-116,769,1001,-168,0,Standing-Ruminating
-617,9979,-12431,-448,1538,-175,-1003,190,-540,0,Standing-Ruminating
1027,9596,-12971,-434,1549,-84,622,-111,219,0,Standing-Ruminating
-403,10273,-12113,-462,1543,-182,-742,948,2,0,Standing-Ruminating
114,8131,-13251,-419,1561,-101,-43,-723,-351,0,Standing-Ruminating
6864,9585,-11130,-726,701,-1283,212,586,93,0,Lying-Ruminating
8232,9564,-10036,-553,572,-1447,149,264,-63,0,Lying-Resting
8084,9507,-10297,-571,597,-1439,103,52,-57,0,Lying-Resting
7939,9654,-10191,-575,603,-1434,133,269,-110,0,Lying-Resting
7971,9637,-10190,-585,604,-1369,62,266,80,0,Lying-Resting
7991,9681,-10095,-585,622,-1374,118,274,30,0,Lying-Resting
7659,9347,-10692,-676,742,-1333,-40,106,125,0,Lying-Resting
7615,9451,-10639,-690,751,-1261,108,353,-45,0,Lying-Resting
7645,9349,-10611,-684,1015,-1248,79,316,-73,0,Lying-Resting
7558,9452,-10687,-690,780,-1244,194,291,-8,0,Lying-Resting
7317,9136,-10719,-714,832,-1245,145,283,143,0,Lying-Resting
9485,8709,-9530,-564,1053,-1142,-343,139,421,0,Lying-Resting
8067,9884,-9820,-667,953,-1214,358,428,-142,0,Lying-Resting
8166,9961,-9692,-651,960,-1171,144,294,8,0,Lying-Resting
8108,9937,-9762,-663,955,-1151,145,232,-83,0,Lying-Resting
7944,9908,-9857,-639,856,-1233,158,266,-30,0,Lying-Resting
8020,9878,-9852,-653,852,-1255,209,278,-9,0,Lying-Resting
7857,10022,-9764,-664,854,-1262,157,250,-86,0,Lying-Resting
7795,10030,-9995,-683,857,-1251,245,337,-117,0,Lying-Resting
7729,10025,-10024,-676,852,-1184,182,294,-29,0,Lying-Resting
8129,9122,-10530,-514,456,-1481,131,203,102,0,Lying-Resting
8035,9107,-10575,-520,452,-1427,223,388,-51,0,Lying-Resting
7969,9064,-10577,-514,443,-1448,332,351,-85,0,Lying-Resting
7662,8980,-10787,-566,448,-1448,186,-252,36,0,Lying-Resting
7550,9276,-10739,-677,738,-1254,167,184,-34,0,Lying-Resting
7728,9959,-10051,-639,725,-1302,174,308,50,0,Lying-Resting
7671,10097,-10541,-640,733,-1300,278,305,-767,0,Lying-Resting
7289,10686,-10396,-737,707,-1235,1617,1457,-914,0,Lying-Resting
6557,9776,-10912,-727,658,-1233,195,259,-23,0,Lying-Resting
7479,9663,-10181,-543,526,-1410,406,408,11,0,Lying-Resting
7830,9509,-10260,-551,514,-1395,240,322,-105,0,Lying-Resting
7826,9575,-10295,-534,530,-1465,115,334,7,0,Lying-Resting
7779,9524,-10482,-558,508,-1394,193,265,-78,0,Lying-Resting
7844,9523,-10226,-555,535,-1397,241,345,-48,0,Lying-Resting
7723,9681,-10396,-554,518,-1404,267,302,-115,0,Lying-Resting
7683,9669,-10294,-567,510,-1391,204,276,-35,0,Lying-Resting
7365,9658,-10560,-611,580,-1418,393,470,-235,0,Lying-Resting
7594,9705,-10420,-603,560,-1420,-14,249,-110,0,Lying-Resting
7540,9540,-10303,-592,572,-1368,273,383,20,0,Lying-Resting
7603,9743,-10411,-601,552,-1330,22,149,77,0,Lying-Resting
6431,9863,-10928,-740,639,-1315,245,220,-34,0,Lying-Resting
6523,9704,-11121,-722,645,-1258,312,342,-109,0,Lying-Resting
6467,9715,-11090,-728,648,-1273,286,230,-58,0,Lying-Resting
6548,9739,-10945,-727,631,-1317,209,368,-13,0,Lying-Resting
5500,10095,-11080,-770,559,-1270,230,280,22,0,Lying-Resting
5439,10104,-11158,-783,562,-1219,256,233,-27,0,Lying-Resting
5440,10222,-11093,-775,570,-1258,203,326,-69,0,Lying-Resting
6251,10246,-10685,-773,553,-1251,130,707,14,0,Lying-Resting
5323,10362,-10998,-765,544,-1232,188,250,-84,0,Lying-Resting
